0:0:0:0:0:0:0:1 - - [15/Feb/2019:22:30:11 +0530] "GET /TwadWeb/library/js/jquery-ui-1.8.21.custom.min.js HTTP/1.1" 200 1013927
0:0:0:0:0:0:0:1 - - [15/Feb/2019:22:30:12 +0530] "GET /TwadWeb/library/New_images/bgimg.jpg HTTP/1.1" 404 2620
0:0:0:0:0:0:0:1 - - [15/Feb/2019:22:30:12 +0530] "GET /TwadWeb/library/img/border_bg.jpg HTTP/1.1" 200 1213
0:0:0:0:0:0:0:1 - - [15/Feb/2019:22:30:12 +0530] "GET /favicon.ico HTTP/1.1" 404 973
127.0.0.1 - - [15/Feb/2019:22:30:27 +0530] "POST /TwadService/Services/DashboardService/getCategoryDtl HTTP/1.1" 200 488
127.0.0.1 - - [15/Feb/2019:22:30:27 +0530] "POST /TwadService/Services/DashboardService/getDistrictDtl HTTP/1.1" 200 56
127.0.0.1 - - [15/Feb/2019:22:30:27 +0530] "POST /TwadService/Services/DashboardService/getDivisionDtl HTTP/1.1" 200 39841
0:0:0:0:0:0:0:1 - - [15/Feb/2019:22:30:27 +0530] "GET /TwadWeb/formRegister.do HTTP/1.1" 200 34958
0:0:0:0:0:0:0:1 - - [15/Feb/2019:22:30:27 +0530] "GET /TwadWeb/assets/css/theme.css HTTP/1.1" 404 2620
0:0:0:0:0:0:0:1 - - [15/Feb/2019:22:30:27 +0530] "GET /TwadWeb/assets/css/MoneAdmin.css HTTP/1.1" 404 2620
0:0:0:0:0:0:0:1 - - [15/Feb/2019:22:30:27 +0530] "GET /TwadWeb/assets/plugins/Font-Awesome/css/font-awesome.css HTTP/1.1" 404 2620
0:0:0:0:0:0:0:1 - - [15/Feb/2019:22:30:27 +0530] "GET /TwadWeb/assets/plugins/validationengine/css/validationEngine.jquery.css HTTP/1.1" 404 2620
0:0:0:0:0:0:0:1 - - [15/Feb/2019:22:30:28 +0530] "GET /TwadWeb/library/assets/plugins/bootstrap/css/bootstrap.css HTTP/1.1" 200 127514
0:0:0:0:0:0:0:1 - - [15/Feb/2019:22:30:28 +0530] "GET /TwadWeb/library/assets/css/main.css HTTP/1.1" 200 63594
0:0:0:0:0:0:0:1 - - [15/Feb/2019:22:30:28 +0530] "GET /TwadWeb/library/img/loaderTn.gif HTTP/1.1" 200 8942
0:0:0:0:0:0:0:1 - - [15/Feb/2019:22:30:28 +0530] "GET /TwadWeb/library/img/middleImageNw.png HTTP/1.1" 200 7699
0:0:0:0:0:0:0:1 - - [15/Feb/2019:22:30:28 +0530] "GET /TwadWeb/library/img/RupeeImage.png HTTP/1.1" 200 365
0:0:0:0:0:0:0:1 - - [15/Feb/2019:22:30:28 +0530] "GET /TwadWeb/library/New_images/bgimg.jpg HTTP/1.1" 404 2620
0:0:0:0:0:0:0:1 - - [15/Feb/2019:22:30:28 +0530] "GET /TwadWeb/library/img/pdf-image.jpg HTTP/1.1" 200 9555
127.0.0.1 - - [15/Feb/2019:22:34:25 +0530] "POST /TwadService/Services/DashboardService/getCategoryDtl HTTP/1.1" 200 488
127.0.0.1 - - [15/Feb/2019:22:34:26 +0530] "POST /TwadService/Services/DashboardService/getDistrictDtl HTTP/1.1" 200 56
127.0.0.1 - - [15/Feb/2019:22:34:26 +0530] "POST /TwadService/Services/DashboardService/getDivisionDtl HTTP/1.1" 200 39841
0:0:0:0:0:0:0:1 - - [15/Feb/2019:22:34:26 +0530] "GET /TwadWeb/formRegister.do HTTP/1.1" 200 35078
0:0:0:0:0:0:0:1 - - [15/Feb/2019:22:34:26 +0530] "GET /TwadWeb/assets/css/theme.css HTTP/1.1" 404 2620
0:0:0:0:0:0:0:1 - - [15/Feb/2019:22:34:26 +0530] "GET /TwadWeb/assets/css/MoneAdmin.css HTTP/1.1" 404 2620
0:0:0:0:0:0:0:1 - - [15/Feb/2019:22:34:26 +0530] "GET /TwadWeb/assets/plugins/Font-Awesome/css/font-awesome.css HTTP/1.1" 404 2620
0:0:0:0:0:0:0:1 - - [15/Feb/2019:22:34:26 +0530] "GET /TwadWeb/assets/plugins/validationengine/css/validationEngine.jquery.css HTTP/1.1" 404 2620
0:0:0:0:0:0:0:1 - - [15/Feb/2019:22:34:26 +0530] "GET /TwadWeb/library/New_images/bgimg.jpg HTTP/1.1" 404 2620
0:0:0:0:0:0:0:1 - - [15/Feb/2019:22:37:26 +0530] "GET /TwadWeb/initialPayment.do HTTP/1.1" 200 8913
0:0:0:0:0:0:0:1 - - [15/Feb/2019:22:37:26 +0530] "GET /TwadWeb/library/assets/css/theme.css HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [15/Feb/2019:22:37:26 +0530] "GET /TwadWeb/library/assets/plugins/dataTables/dataTables.bootstrap.css HTTP/1.1" 200 5178
0:0:0:0:0:0:0:1 - - [15/Feb/2019:22:37:26 +0530] "GET /TwadWeb/library/assets/plugins/Font-Awesome/css/font-awesome.css HTTP/1.1" 200 28711
0:0:0:0:0:0:0:1 - - [15/Feb/2019:22:37:26 +0530] "GET /TwadWeb/library/img/loader.gif HTTP/1.1" 200 328893
0:0:0:0:0:0:0:1 - - [15/Feb/2019:22:37:28 +0530] "GET /TwadWeb/library/img/border_bg.gif HTTP/1.1" 404 2620
0:0:0:0:0:0:0:1 - - [15/Feb/2019:22:37:56 +0530] "GET /TwadWeb/checkApplicationStatus.do?appId= HTTP/1.1" 200 9275
0:0:0:0:0:0:0:1 - - [15/Feb/2019:22:37:57 +0530] "GET /TwadWeb/assets/css/theme.css HTTP/1.1" 404 2620
0:0:0:0:0:0:0:1 - - [15/Feb/2019:22:37:57 +0530] "GET /TwadWeb/assets/plugins/Font-Awesome/css/font-awesome.css HTTP/1.1" 404 2620
0:0:0:0:0:0:0:1 - - [15/Feb/2019:22:37:57 +0530] "GET /TwadWeb/assets/css/MoneAdmin.css HTTP/1.1" 404 2620
