127.0.0.1 - - [16/Feb/2019:13:28:05 +0530] "GET / HTTP/1.1" 404 951
127.0.0.1 - - [16/Feb/2019:13:28:16 +0530] "POST /TwadService/Services/DashboardService/getCategoryDtl HTTP/1.1" 200 488
127.0.0.1 - - [16/Feb/2019:13:28:16 +0530] "POST /TwadService/Services/DashboardService/getDistrictDtl HTTP/1.1" 200 56
127.0.0.1 - - [16/Feb/2019:13:28:16 +0530] "POST /TwadService/Services/DashboardService/getDivisionDtl HTTP/1.1" 200 39841
0:0:0:0:0:0:0:1 - - [16/Feb/2019:13:28:19 +0530] "GET /TwadWeb/formRegister.do HTTP/1.1" 200 35309
0:0:0:0:0:0:0:1 - - [16/Feb/2019:13:28:20 +0530] "GET /TwadWeb/library/img/twad_logo.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Feb/2019:13:28:20 +0530] "GET /TwadWeb/assets/plugins/Font-Awesome/css/font-awesome.css HTTP/1.1" 404 2620
0:0:0:0:0:0:0:1 - - [16/Feb/2019:13:28:20 +0530] "GET /TwadWeb/assets/css/MoneAdmin.css HTTP/1.1" 404 2620
0:0:0:0:0:0:0:1 - - [16/Feb/2019:13:28:20 +0530] "GET /TwadWeb/assets/plugins/validationengine/css/validationEngine.jquery.css HTTP/1.1" 404 2620
0:0:0:0:0:0:0:1 - - [16/Feb/2019:13:28:20 +0530] "GET /TwadWeb/assets/css/theme.css HTTP/1.1" 404 2620
0:0:0:0:0:0:0:1 - - [16/Feb/2019:13:28:20 +0530] "GET /TwadWeb/library/img/middleImage.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Feb/2019:13:28:20 +0530] "GET /TwadWeb/library/New_images/bgimg.jpg HTTP/1.1" 404 2620
127.0.0.1 - - [16/Feb/2019:13:29:07 +0530] "POST /TwadService/Services/DashboardService/getCategoryDtl HTTP/1.1" 200 488
127.0.0.1 - - [16/Feb/2019:13:29:07 +0530] "POST /TwadService/Services/DashboardService/getDistrictDtl HTTP/1.1" 200 56
127.0.0.1 - - [16/Feb/2019:13:29:07 +0530] "POST /TwadService/Services/DashboardService/getDivisionDtl HTTP/1.1" 200 39841
0:0:0:0:0:0:0:1 - - [16/Feb/2019:13:29:08 +0530] "GET /TwadWeb/formRegister.do HTTP/1.1" 200 35403
0:0:0:0:0:0:0:1 - - [16/Feb/2019:13:29:08 +0530] "GET /TwadWeb/assets/css/theme.css HTTP/1.1" 404 2620
0:0:0:0:0:0:0:1 - - [16/Feb/2019:13:29:08 +0530] "GET /TwadWeb/assets/css/MoneAdmin.css HTTP/1.1" 404 2620
0:0:0:0:0:0:0:1 - - [16/Feb/2019:13:29:08 +0530] "GET /TwadWeb/assets/plugins/Font-Awesome/css/font-awesome.css HTTP/1.1" 404 2620
0:0:0:0:0:0:0:1 - - [16/Feb/2019:13:29:08 +0530] "GET /TwadWeb/assets/plugins/validationengine/css/validationEngine.jquery.css HTTP/1.1" 404 2620
0:0:0:0:0:0:0:1 - - [16/Feb/2019:13:29:08 +0530] "GET /TwadWeb/library/New_images/bgimg.jpg HTTP/1.1" 404 2620
0:0:0:0:0:0:0:1 - - [16/Feb/2019:13:29:28 +0530] "GET /TwadWeb/assets/css/MoneAdmin.css HTTP/1.1" 404 2620
